scheduled_departure,scheduled_arrival,carrier,origin,destination,distance_km,weather_wind1,weather_wind2,weather_rain1,weather_rain2,weather_visibility_km,noise_1,noise_2,noise_3,route,scheduled_duration_min,departure_hour,is_holiday,is_late_night,high_precipitation,limited_visibility,holiday_late_night,destination_limited_visibility,departure_delay_min,actual_departure,actual_arrival,arrival_delay_min,delayed_15_min
2025-02-02 04:15:00,2025-02-02 09:58:00,AA,ATL,SFO,3851,3.32,4.69,0.0,0.0,11.33,0.848,0.914,66,ATL-SFO,343,4,0,1,0,0,0,0,-3,2025-02-02 04:12:00,2025-02-02 10:01:00,3,0
2025-10-10 00:10:00,2025-10-10 05:27:00,AA,JFK,ORD,3529,5.98,3.32,9.74,9.54,12.57,1.0244,0.2489,29,JFK-ORD,317,0,0,1,0,0,0,0,-4,2025-10-10 00:06:00,2025-10-10 05:27:00,0,0
2025-08-27 15:30:00,2025-08-27 18:08:00,UA,LAX,BOS,1532,6.54,4.72,0.0,0.0,14.81,0.7782,0.8009,82,LAX-BOS,158,15,0,0,0,0,0,0,-7,2025-08-27 15:23:00,2025-08-27 18:09:00,1,0
2025-06-10 16:40:00,2025-06-10 22:48:00,AA,ORD,LAX,4165,14.51,15.42,0.0,0.14,17.66,-1.0053,-0.7543,11,ORD-LAX,368,16,0,0,0,0,0,0,5,2025-06-10 16:45:00,2025-06-10 22:45:00,-3,0
2025-06-08 18:15:00,2025-06-08 22:12:00,AA,LAX,DFW,2526,7.54,5.24,0.46,0.0,12.2,0.6801,-0.5797,88,LAX-DFW,237,18,0,0,0,0,0,0,-2,2025-06-08 18:13:00,2025-06-08 22:08:00,-4,0
2025-11-10 22:45:00,2025-11-11 01:39:00,DL,BOS,ATL,1742,16.35,15.45,0.0,0.0,16.71,-1.4124,0.5076,77,BOS-ATL,174,22,0,1,0,0,0,0,-7,2025-11-10 22:38:00,2025-11-11 01:22:00,-17,0
2025-02-01 11:40:00,2025-02-01 13:44:00,DL,DFW,JFK,1107,21.0,18.78,0.08,0.0,15.24,-1.2519,0.6882,32,DFW-JFK,124,11,0,0,0,0,0,0,-3,2025-02-01 11:37:00,2025-02-01 14:01:00,17,1
2025-09-12 19:10:00,2025-09-13 00:07:00,WN,DFW,ATL,3281,9.43,8.77,0.0,0.0,13.36,-0.1523,-0.462,58,DFW-ATL,297,19,0,0,0,0,0,0,6,2025-09-12 19:16:00,2025-09-13 00:20:00,13,0
2025-03-15 17:50:00,2025-03-15 20:22:00,DL,SFO,ORD,1465,1.7,4.73,0.0,0.73,12.54,1.1803,0.4459,29,SFO-ORD,152,17,0,0,0,0,0,0,-1,2025-03-15 17:49:00,2025-03-15 20:29:00,7,0
2025-02-04 06:00:00,2025-02-04 10:38:00,B6,JFK,DEN,3041,28.32,26.42,0.2,0.0,22.89,-0.1749,0.6892,99,JFK-DEN,278,6,0,0,0,0,0,0,10,2025-02-04 06:10:00,2025-02-04 10:57:00,19,1
2025-07-12 20:40:00,2025-07-12 22:01:00,UA,LAX,DFW,573,11.29,4.77,1.28,0.0,13.85,-0.8616,-0.3974,10,LAX-DFW,81,20,0,1,0,0,0,0,8,2025-07-12 20:48:00,2025-07-12 21:58:00,-3,0
2025-12-23 01:20:00,2025-12-23 05:52:00,WN,ORD,BOS,2966,8.56,4.14,0.28,0.0,16.98,0.5554,-0.3009,85,ORD-BOS,272,1,0,1,0,0,0,0,25,2025-12-23 01:45:00,2025-12-23 06:14:00,22,1
2025-09-26 14:40:00,2025-09-26 19:15:00,B6,DFW,BOS,2998,6.9,8.3,0.95,0.56,16.62,-0.5285,-0.183,12,DFW-BOS,275,14,0,0,0,0,0,0,-1,2025-09-26 14:39:00,2025-09-26 19:23:00,8,0
2025-10-05 22:45:00,2025-10-06 02:40:00,UA,SFO,DFW,2503,5.72,5.07,0.98,0.73,12.64,0.3942,0.5209,94,SFO-DFW,235,22,0,1,0,0,0,0,-7,2025-10-05 22:38:00,2025-10-06 02:34:00,-6,0
2025-09-19 15:40:00,2025-09-19 20:20:00,WN,ORD,DEN,3059,3.01,0.95,0.54,0.26,15.74,0.0695,-0.2888,54,ORD-DEN,280,15,0,0,0,0,0,0,0,2025-09-19 15:40:00,2025-09-19 20:13:00,-7,0
2025-10-14 22:40:00,2025-10-15 05:13:00,B6,SEA,SFO,4473,12.01,15.36,0.0,0.71,16.36,-1.0197,-0.7866,95,SEA-SFO,393,22,0,1,0,0,0,0,5,2025-10-14 22:45:00,2025-10-15 05:14:00,1,0
2025-07-07 01:45:00,2025-07-07 07:26:00,UA,ORD,DEN,3821,12.92,13.84,2.92,4.25,15.05,1.0767,0.1201,10,ORD-DEN,341,1,0,1,0,0,0,0,24,2025-07-07 02:09:00,2025-07-07 07:54:00,28,1
2025-02-16 12:40:00,2025-02-16 16:07:00,UA,LAX,BOS,2146,17.02,17.37,0.0,0.16,16.8,-1.7059,-0.8918,2,LAX-BOS,207,12,0,0,0,0,0,0,17,2025-02-16 12:57:00,2025-02-16 16:16:00,9,0
2025-11-03 18:45:00,2025-11-04 00:37:00,AA,ATL,JFK,3960,9.04,10.63,2.0,0.0,15.76,-0.9545,0.1164,73,ATL-JFK,352,18,0,0,0,0,0,0,11,2025-11-03 18:56:00,2025-11-04 00:52:00,15,1
2025-06-14 15:20:00,2025-06-14 21:40:00,UA,LAX,DEN,4308,8.94,7.25,0.0,0.0,14.71,0.5843,-0.4029,78,LAX-DEN,380,15,0,0,0,0,0,0,22,2025-06-14 15:42:00,2025-06-14 22:15:00,35,1
2025-07-02 21:10:00,2025-07-02 23:03:00,AA,BOS,JFK,972,21.48,20.81,0.0,0.0,14.75,2.8131,0.3775,46,BOS-JFK,113,21,0,1,0,0,0,0,-4,2025-07-02 21:06:00,2025-07-02 22:55:00,-8,0
2025-05-16 11:10:00,2025-05-16 14:10:00,UA,LAX,ORD,1807,4.69,7.48,0.0,0.39,17.26,-1.8234,-0.6331,85,LAX-ORD,180,11,0,0,0,0,0,0,-6,2025-05-16 11:04:00,2025-05-16 14:02:00,-8,0
2025-03-08 16:30:00,2025-03-08 21:39:00,DL,ORD,ATL,3420,17.66,20.58,10.69,10.93,5.05,-0.1813,0.4953,86,ORD-ATL,309,16,0,0,0,1,0,0,9,2025-03-08 16:39:00,2025-03-08 21:48:00,9,0
2025-12-05 10:30:00,2025-12-05 14:22:00,WN,JFK,DEN,2462,15.42,11.26,0.09,0.11,18.77,-2.4115,0.8569,61,JFK-DEN,232,10,0,0,0,0,0,0,15,2025-12-05 10:45:00,2025-12-05 14:14:00,-8,0
2025-10-13 20:00:00,2025-10-13 21:44:00,UA,DEN,ATL,865,6.53,6.78,0.76,0.0,18.99,-0.2014,0.4865,66,DEN-ATL,104,20,0,1,0,0,0,0,7,2025-10-13 20:07:00,2025-10-13 21:54:00,10,0
2025-08-24 02:10:00,2025-08-24 05:48:00,B6,ATL,DFW,2284,10.94,10.36,7.49,7.86,4.29,-0.7076,-0.3989,8,ATL-DFW,218,2,0,1,0,1,0,0,14,2025-08-24 02:24:00,2025-08-24 05:32:00,-16,0
2025-05-27 06:50:00,2025-05-27 09:55:00,WN,ORD,ATL,1869,3.38,3.85,0.82,0.23,13.27,-0.0164,0.0877,36,ORD-ATL,185,6,0,0,0,0,0,0,32,2025-05-27 07:22:00,2025-05-27 10:30:00,35,1
2025-10-28 02:40:00,2025-10-28 07:47:00,B6,ORD,BOS,3403,16.26,21.45,9.33,9.25,13.93,1.359,0.6776,59,ORD-BOS,307,2,0,1,0,0,0,0,-10,2025-10-28 02:30:00,2025-10-28 07:44:00,-3,0
2025-07-19 16:45:00,2025-07-19 20:37:00,DL,JFK,DFW,2465,15.51,19.47,0.0,0.0,9.26,0.8112,0.5763,23,JFK-DFW,232,16,0,0,0,0,0,0,5,2025-07-19 16:50:00,2025-07-19 20:23:00,-14,0
2025-06-11 05:10:00,2025-06-11 06:56:00,WN,ORD,SFO,887,12.78,12.38,0.12,0.0,14.29,-0.4049,-0.8893,51,ORD-SFO,106,5,0,0,0,0,0,0,-10,2025-06-11 05:00:00,2025-06-11 06:50:00,-6,0
2025-06-14 07:00:00,2025-06-14 08:16:00,UA,SEA,SFO,507,13.25,12.6,3.04,2.4,10.77,0.656,-0.8769,37,SEA-SFO,76,7,0,0,0,0,0,0,18,2025-06-14 07:18:00,2025-06-14 08:36:00,20,1
2025-03-24 20:15:00,2025-03-24 22:50:00,B6,JFK,ATL,1506,0.72,2.33,4.45,3.2,14.14,0.0284,-0.7785,96,JFK-ATL,155,20,0,1,0,0,0,0,-4,2025-03-24 20:11:00,2025-03-24 22:46:00,-4,0
2025-02-03 08:45:00,2025-02-03 10:37:00,WN,ATL,SFO,958,4.86,3.2,0.0,1.79,12.09,-1.0834,-0.0822,45,ATL-SFO,112,8,0,0,0,0,0,0,1,2025-02-03 08:46:00,2025-02-03 10:30:00,-7,0
2025-07-22 03:30:00,2025-07-22 09:23:00,WN,SEA,LAX,3980,25.43,25.02,2.99,3.98,14.44,-0.0988,-0.6394,57,SEA-LAX,353,3,0,1,0,0,0,0,-3,2025-07-22 03:27:00,2025-07-22 09:27:00,4,0
2025-11-21 00:45:00,2025-11-21 03:15:00,UA,JFK,SEA,1438,24.55,26.25,0.29,0.0,11.28,0.431,0.4018,77,JFK-SEA,150,0,0,1,0,0,0,0,16,2025-11-21 01:01:00,2025-11-21 03:34:00,19,1
2025-01-24 05:20:00,2025-01-24 09:52:00,B6,ORD,SEA,2964,20.31,22.12,0.0,0.63,8.61,3.6741,0.7954,94,ORD-SEA,272,5,0,0,0,0,0,0,18,2025-01-24 05:38:00,2025-01-24 09:56:00,4,0
2025-11-10 21:20:00,2025-11-10 23:02:00,B6,SFO,JFK,835,20.95,26.42,3.69,4.11,12.89,1.2811,-0.9558,31,SFO-JFK,102,21,0,1,0,0,0,0,17,2025-11-10 21:37:00,2025-11-10 23:01:00,-1,0
2025-10-30 13:30:00,2025-10-30 16:57:00,DL,DFW,DEN,2155,3.46,4.38,2.82,3.83,13.4,0.6853,0.4872,2,DFW-DEN,207,13,0,0,0,0,0,0,-6,2025-10-30 13:24:00,2025-10-30 16:48:00,-9,0
2025-04-12 23:50:00,2025-04-13 06:03:00,AA,LAX,JFK,4223,14.32,9.82,0.25,0.35,17.68,-1.8182,-0.925,16,LAX-JFK,373,23,0,1,0,0,0,0,-1,2025-04-12 23:49:00,2025-04-13 05:57:00,-6,0
2025-08-19 05:20:00,2025-08-19 09:55:00,AA,ATL,ORD,3002,14.14,12.03,0.55,0.0,15.1,0.1631,-0.8447,68,ATL-ORD,275,5,0,0,0,0,0,0,7,2025-08-19 05:27:00,2025-08-19 09:46:00,-9,0
2025-03-02 08:30:00,2025-03-02 11:06:00,WN,SEA,ORD,1510,5.64,8.03,0.0,0.68,16.73,1.4066,-0.134,58,SEA-ORD,156,8,0,0,0,0,0,0,2,2025-03-02 08:32:00,2025-03-02 11:07:00,1,0
2025-10-04 03:50:00,2025-10-04 09:00:00,UA,ATL,BOS,3440,8.92,10.09,0.0,0.0,16.71,0.5279,0.9991,79,ATL-BOS,310,3,0,1,0,0,0,0,6,2025-10-04 03:56:00,2025-10-04 09:14:00,14,0
2025-09-13 09:15:00,2025-09-13 13:02:00,AA,JFK,SFO,2404,4.05,2.44,0.7,1.01,16.26,1.1333,-0.4063,38,JFK-SFO,227,9,0,0,0,0,0,0,7,2025-09-13 09:22:00,2025-09-13 13:00:00,-2,0
2025-05-10 13:45:00,2025-05-10 16:03:00,UA,DFW,DEN,1287,2.81,0.91,0.82,0.0,17.94,0.4959,0.0241,88,DFW-DEN,138,13,0,0,0,0,0,0,-3,2025-05-10 13:42:00,2025-05-10 15:59:00,-4,0
2025-01-25 19:30:00,2025-01-26 02:04:00,AA,ATL,SEA,4485,23.3,23.14,0.95,0.0,17.96,1.015,0.9549,38,ATL-SEA,394,19,0,0,0,0,0,0,9,2025-01-25 19:39:00,2025-01-26 02:13:00,9,0
2025-12-21 08:50:00,2025-12-21 15:04:00,UA,JFK,DEN,4237,14.74,16.91,0.0,0.65,15.37,-1.7284,0.259,60,JFK-DEN,374,8,0,0,0,0,0,0,12,2025-12-21 09:02:00,2025-12-21 15:15:00,11,0
2025-06-12 18:20:00,2025-06-12 22:29:00,AA,SFO,ATL,2679,21.9,25.89,0.14,0.9,11.4,1.6377,-0.2719,35,SFO-ATL,249,18,0,0,0,0,0,0,9,2025-06-12 18:29:00,2025-06-12 22:40:00,11,0
2025-11-22 15:40:00,2025-11-22 16:50:00,AA,BOS,SFO,439,17.1,14.01,0.23,0.0,12.97,0.8036,-0.3453,45,BOS-SFO,70,15,0,0,0,0,0,0,-5,2025-11-22 15:35:00,2025-11-22 16:39:00,-11,0
